13,,13,,,13,,,,,13,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,21,,,21,,,,,21,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,14,14,,,,,14,,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,16,,16,,,,,16,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,23,23,,,,,23,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,5,,,,,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,7,7,,,,,7,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,18,,18,,,,,18,,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,22,22,,,,,22,,,22,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,31,31,,,,,31,,,31,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,32,,32,,,,,32,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,29,,,29,,,,,29,29,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,27,,27,,,,,27,,27,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,18,,18,,,,,18,,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,17,,17,,,,,17,,17,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,12,,,12,,,,,12,12,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,11,,11,,,,,11,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,7,7,,,,,7,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,16,,16,,,,,16,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,5,,,,,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,23,23,,,,,23,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,24,,24,,,,,24,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,18,,18,,,,,18,,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,13,,,13,,,,,13,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,16,,16,,,,,16,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,19,,19,,,,,19,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,25,,25,,,,,25,,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,20,,,20,,,,,20,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,21,,,21,,,,,21,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,24,,24,,,,,24,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,32,,32,,,,,32,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,33,,33,,,,,33,,33,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,31,31,,,,,31,,,31,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,28,,,28,,,,,28,28,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,27,,27,,,,,27,,27,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,18,,18,,,,,18,,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,19,,19,,,,,19,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,20,,,20,,,,,20,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,4,,,,,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,3,,3,,,,,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,2,,2,,,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,1,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,5,,,,,5,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,13,,,13,,,,,13,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,11,,11,,,,,11,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,17,,17,,,,,17,,17,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,18,,18,,,,,18,,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,19,,19,,,,,19,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,20,,,20,,,,,20,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,31,31,,,,,31,,,31,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,24,,24,,,,,24,,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,16,,16,,,,,16,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,17,,17,,,,,17,,17,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,19,,19,,,,,19,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,20,,,20,,,,,20,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,21,,,21,,,,,21,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,31,31,,,,,31,,,31,,31,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,32,,32,,,,,32,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,17,,17,,,,,17,,17,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,13,,,13,,,,,13,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,,18,,18,,,,,18,,18,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,21,,,21,,,,,21,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,19,,19,,,,,19,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,21,,,21,,,,,21,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,4,,,4,,,,,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,4,,,4,,,,,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,4,,,4,,,,,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,7,7,,,,,7,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,8,,8,,,,,8,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,9,,9,,,,,9,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,13,,,13,,,,,13,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,16,,16,,,,,16,,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,15,15,,,,,15,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,17,,17,,,,,17,,17,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
