1,33,1,3,1,5,,,,1,5,1,3,1,17,,,,1,5,1,3,3,1,,,,,,,,,,,,,,,,,
3,2,5,7,9,13,,,,9,13,5,7,2,18,,,,9,13,5,7,7,5,,,,,,,,,,,,,,,,,
5,4,9,11,17,21,,,,17,21,9,11,3,19,,,,17,21,9,11,11,9,,,,,,,,,,,,,,,,,
7,6,13,15,25,29,,,,25,29,13,15,4,20,,,,25,29,13,15,15,13,,,,,,,,,,,,,,,,,
9,8,17,19,33,4,,,,33,4,17,19,5,21,,,,33,4,17,19,19,17,,,,,,,,,,,,,,,,,
11,10,21,23,8,12,,,,8,12,21,23,6,22,,,,8,12,21,23,23,21,,,,,,,,,,,,,,,,,
13,12,25,27,16,20,,,,16,20,25,27,7,23,,,,16,20,25,27,27,25,,,,,,,,,,,,,,,,,
15,14,29,31,24,28,,,,24,28,29,31,8,24,,,,24,28,29,31,31,29,,,,,,,,,,,,,,,,,
17,16,33,2,32,3,,,,32,3,33,2,9,25,,,,32,3,33,2,33,2,,,,,,,,,,,,,,,,,
19,18,4,6,7,11,,,,7,11,4,6,10,26,,,,7,11,4,6,4,6,,,,,,,,,,,,,,,,,
21,20,8,10,15,19,,,,15,19,8,10,11,27,,,,15,19,8,10,8,10,,,,,,,,,,,,,,,,,
23,22,12,14,23,27,,,,23,27,12,14,12,28,,,,23,27,12,14,12,14,,,,,,,,,,,,,,,,,
25,24,16,18,31,2,,,,31,2,16,18,13,29,,,,31,2,16,18,16,18,,,,,,,,,,,,,,,,,
27,26,20,22,6,10,,,,6,10,20,22,14,30,,,,6,10,20,22,20,22,,,,,,,,,,,,,,,,,
29,28,24,26,14,18,,,,14,18,24,26,15,31,,,,14,18,24,26,24,26,,,,,,,,,,,,,,,,,
31,30,28,30,22,26,,,,22,26,28,30,16,32,,,,22,26,28,30,28,30,,,,,,,,,,,,,,,,,
,32,32,,30,,,,,30,,32,,,33,,,,30,,32,,32,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
